id,text,swipe,district
37c8c8c8d6b25ff7fbd4bd92,wildgäßchen 4,t,oberrad
7d7053bec0829151665e5976,danneckerstraße 6,f,sachsenhausen-n
3aee15b19708039525a6545a,triebstraße 7,f,bergen-enkheim
37c8c8c8d6b25ff7fbd4bd92,melsunger straße 22,f,seckbach
7d7053bec0829151665e5976,felix-dahn-straße 5,t,ginnheim
37c8c8c8d6b25ff7fbd4bd92,elbestraße 13,t,bahnhofsviertel
3aee15b19708039525a6545a,schalkwiesenweg 30,f,praunheim
37c8c8c8d6b25ff7fbd4bd92,im galluspark 16,t,gallus
7d7053bec0829151665e5976,am tiergarten 21,f,ostend
3aee15b19708039525a6545a,karlsbader straße 11,f,sachsenhausen-s
37c8c8c8d6b25ff7fbd4bd92,allesinastraße 19,f,sindlingen
7d7053bec0829151665e5976,cäsar-von-hofacker-straße 3,f,kalbach-riedberg
37c8c8c8d6b25ff7fbd4bd92,gerhart-hauptmann-ring 190,t,niederursel
7d7053bec0829151665e5976,niederbornstraße 13,f,eckenheim
3aee15b19708039525a6545a,lessingstraße 5,f,westend-süd
37c8c8c8d6b25ff7fbd4bd92,andreaestraße 8,f,bornheim
7d7053bec0829151665e5976,bessie-coleman-straße 7,f,flughafen
7d7053bec0829151665e5976,bechtenwaldstraße 31,f,zeilsheim
37c8c8c8d6b25ff7fbd4bd92,rhonestraße 6,t,schwanheim
7d7053bec0829151665e5976,narzissenstraße 74,f,nieder-eschbach
37c8c8c8d6b25ff7fbd4bd92,schüttgrabenstraße 2,f,niederursel
3aee15b19708039525a6545a,legienstraße 25,f,unterliederbach
3aee15b19708039525a6545a,an der wolfsweide 54,f,preungesheim
7d7053bec0829151665e5976,hildburghäuser weg 32,f,zeilsheim
3aee15b19708039525a6545a,arthur-von-weinberg-straße 12,f,kalbach-riedberg
37c8c8c8d6b25ff7fbd4bd92,schalkwiesenweg 36,f,praunheim
7d7053bec0829151665e5976,karl-von-drais-straße 12,f,eckenheim
37c8c8c8d6b25ff7fbd4bd92,langer weg 16,t,rödelheim
7d7053bec0829151665e5976,max-bock-straße 61,f,dornbusch
37c8c8c8d6b25ff7fbd4bd92,gerhart-hauptmann-ring 100,t,niederursel
7d7053bec0829151665e5976,grundweg 11,f,harheim
37c8c8c8d6b25ff7fbd4bd92,homburger hohl 21,f,bonames
7d7053bec0829151665e5976,krautgartenweg 48,f,niederursel
7d7053bec0829151665e5976,teplitz-schönauer-straße 14,f,sachsenhausen-s
37c8c8c8d6b25ff7fbd4bd92,georg-treser-straße 51,f,oberrad
7d7053bec0829151665e5976,erlenseer straße 31,f,bergen-enkheim
37c8c8c8d6b25ff7fbd4bd92,olbrichstraße 22,t,praunheim
7d7053bec0829151665e5976,dominikanergasse 14,f,altstadt
37c8c8c8d6b25ff7fbd4bd92,apostelstraße 10,f,niederrad
7d7053bec0829151665e5976,kellerskopfweg 13,f,zeilsheim
7d7053bec0829151665e5976,ernst-balser-straße 39,f,kalbach-riedberg
37c8c8c8d6b25ff7fbd4bd92,elefantengasse 8,t,innenstadt
37c8c8c8d6b25ff7fbd4bd92,wachtelweg 6,f,unterliederbach
7d7053bec0829151665e5976,autogenstraße 57,f,griesheim
37c8c8c8d6b25ff7fbd4bd92,max-beckmann-straße 28,t,sachsenhausen-s
7d7053bec0829151665e5976,gellertstraße 34,t,nordend-ost
37c8c8c8d6b25ff7fbd4bd92,libellenweg 41,f,schwanheim
7d7053bec0829151665e5976,stalburgstraße 41,t,nordend-west
37c8c8c8d6b25ff7fbd4bd92,hainer weg 62,f,sachsenhausen-s
37c8c8c8d6b25ff7fbd4bd92,carl-hermann-rudloff-allee 29,f,kalbach-riedberg
7d7053bec0829151665e5976,geibelstraße 3,f,ostend
37c8c8c8d6b25ff7fbd4bd92,heilmannstraße 35,f,praunheim
7d7053bec0829151665e5976,töngesgasse 19,f,altstadt
7d7053bec0829151665e5976,inselsbergstraße 44,f,unterliederbach
7d7053bec0829151665e5976,lamboystraße 50,f,sachsenhausen-s
