id,text,swipe
0d64ed8543264f7642037d62,"Steuernagelstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Heddernheimer Kirchstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Edenkobener Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Ludwig-Hensler-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Reichenbacher Weg,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Jakob-Heller-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Hildegard-Schaeder-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Anspacher Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Margarete-Weber-Anlage,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Friedrich-List-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Bornweg,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Maulbeerstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Orthstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Letzter Hasenpfad,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Georg-Wolff-Straße,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Riedrain,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Morgensternstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Am Alten See,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Ladenburgstraße,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Paul-Kirchhof-Platz,FrankfurtamMain",t
0d64ed8543264f7642037d62,"An der Welle,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Plessengasse,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Bürgermeister-Schubert-Park,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Schrimpegasse,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Mörikestraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Nordheimstraße,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Fritz-Lennig-Anlage,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Richard-Weidlich-Platz,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Wacholderweg,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Gravenbruchring ,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Im Heisenrath,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Ernst-Wiss-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Bruchfeldplatz,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Max-Hirsch-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Marie-Curie-Straße,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Schüttgrabenstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Coburger Weg,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Große Bockenheimer Straße,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Werft - Ruhrorter Werft*,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Michael-Stumpf-Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Nesselbuschstraße,FrankfurtamMain",t
0d64ed8543264f7642037d62,"Monisstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Anzengruberstraße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Bergener Weg*,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Dortelweiler Straße,FrankfurtamMain",f
0d64ed8543264f7642037d62,"An der Zingelswiese,FrankfurtamMain",f
0d64ed8543264f7642037d62,"Praunheimer Hohl,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Heidestraße,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Richard-Strauss-Allee,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Wilhelmshavener Straße,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"August-Siebert-Straße,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Isenburger Schneise,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Kleestraße,FrankfurtamMain",f
e6bbd29c776754afb7bca295,"Elmer Weg,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Paul-Hindemith-Anlage,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Felix-Wankel-Straße,FrankfurtamMain",f
e6bbd29c776754afb7bca295,"Josephskirchstraße,FrankfurtamMain",f
e6bbd29c776754afb7bca295,"Bahnhof - Ffm.-Unterliederbach*,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Buchenrodestraße,FrankfurtamMain",f
e6bbd29c776754afb7bca295,"Günthersburgpark*,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Griesheimer Stadtweg,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Adolph-Prior-Straße,FrankfurtamMain",f
e6bbd29c776754afb7bca295,"Hans-Loskant-Weg,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Schneidmühlenweg,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Ligusterweg,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Mithrasstraße,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Stralsunder Straße,FrankfurtamMain",t
e6bbd29c776754afb7bca295,"Breulsweg,FrankfurtamMain",t
