"x"
"Abflugring*"
"Abtsgäßchen"
"Achenbachstraße"
"Ackermannstraße"
"Adalbert-Stifter-Straße"
"Adalbertstraße"
"Adam-Heinstadt-Straße"
"Adam-Leis-Straße"
"Adam-Opel-Straße"
"Adam-Riese-Platz"
"Adam-Riese-Straße"
"Adelheidstraße"
"Adelonstraße"
"Adickesallee"
"Adlerflychtplatz"
"Adlerflychtstraße"
"Adlhochplatz"
"Adolf-Haeuser-Straße"
"Adolf-Leweke-Straße"
"Adolf-Meyer-Straße"
"Adolf-Miersch-Straße"
"Adolf-Reichwein-Straße"
"Adolfstraße"
"Adolph-Prior-Straße"
"Adolph-von-Holzhausen-Park"
"Affentorplatz"
"Ahornstraße"
"Ährenstraße"
"Ahrtalstraße"
"Airportring"
"Akazienstraße"
"Albanusstraße"
"Albert-Blank-Straße"
"Albert-Einstein-Straße"
"Albert-Linel-Straße"
"Albert-Schweitzer-Straße"
"Albusstraße"
"Alemannenweg"
"Alexander-Riese-Weg"
"Alexanderstraße"
"Alfred-Brehm-Platz"
"Alfred-Delp-Straße"
"Alfred-Göbel-Weg"
"Alfred-Kiefer-Weg"
"Alfred-Pfaff-Straße"
"Alfred-Wegener-Straße"
"Alkmenestraße"
"Allendorfer Straße"
"Allerheiligenstraße"
"Allerheiligentor"
"Allesinastraße"
"Allmeygang"
"Alois-Brisbois-Weg"
"Alois-Eckert-Straße"
"Alpenroder Straße"
"Alsfelder Straße"
"Alt-Bergen"
"Alt-Bonames"
"Alt-Bornheim"
"Alte Brücke (Main)"
"Alte Fahrt"
"Alte Falterstraße"
"Alte Gasse"
"Alte Hauptwache*"
"Alte Hofgasse"
"Alte Mainzer Gasse"
"Alte Niddabrücke in Nied"
"Alte Riedbergstraße"
"Alte Rothofstraße"
"Alte Schleuse Schwanheim*"
"Altebergsgäßchen I. (Erstes)"
"Altebergsgäßchen II. (Zweites)"
"Altebergsweg"
"Altebergs-Zwerchgäßchen"
"Altebornstraße"
"Altenburger Weg"
"Altenhainer Straße"
"Altenhöferallee"
"Alt-Enkheim"
"Alter Schulpfad"
"Alter Wartweg"
"Alt-Erlenbach"
